"Time","Room.mean"
2025-02-26 00:00:00,21.1 %H
2025-02-26 00:30:00,20.9 %H
2025-02-26 01:00:00,20.9 %H
2025-02-26 01:30:00,20.9 %H
2025-02-26 02:00:00,21.2 %H
2025-02-26 02:30:00,21.2 %H
2025-02-26 03:00:00,21.2 %H
2025-02-26 03:30:00,21.4 %H
2025-02-26 04:00:00,21.5 %H
2025-02-26 04:30:00,21.3 %H
2025-02-26 05:00:00,21.2 %H
2025-02-26 05:30:00,21.0 %H
2025-02-26 06:00:00,20.6 %H
2025-02-26 06:30:00,20.4 %H
2025-02-26 07:00:00,20.3 %H
2025-02-26 07:30:00,20.0 %H
2025-02-26 08:00:00,19.7 %H
2025-02-26 08:30:00,19.4 %H
2025-02-26 09:00:00,19.3 %H
2025-02-26 09:30:00,19.5 %H
2025-02-26 10:00:00,19.8 %H
2025-02-26 10:30:00,19.7 %H
2025-02-26 11:00:00,19.6 %H
2025-02-26 11:30:00,20.2 %H
2025-02-26 12:00:00,19.9 %H
2025-02-26 12:30:00,18.6 %H
2025-02-26 13:00:00,18.1 %H
2025-02-26 13:30:00,17.7 %H
2025-02-26 14:00:00,17.3 %H
2025-02-26 14:30:00,17.3 %H
2025-02-26 15:00:00,17.4 %H
2025-02-26 15:30:00,17.6 %H
2025-02-26 16:00:00,16.9 %H
2025-02-26 16:30:00,17.0 %H
2025-02-26 17:00:00,17.1 %H
2025-02-26 17:30:00,17.1 %H
2025-02-26 18:00:00,16.8 %H
2025-02-26 18:30:00,16.7 %H
2025-02-26 19:00:00,16.6 %H
2025-02-26 19:30:00,16.3 %H
2025-02-26 20:00:00,15.9 %H
2025-02-26 20:30:00,15.7 %H
2025-02-26 21:00:00,15.6 %H
2025-02-26 21:30:00,15.7 %H
2025-02-26 22:00:00,15.8 %H
2025-02-26 22:30:00,15.5 %H
2025-02-26 23:00:00,15.5 %H
2025-02-26 23:30:00,15.3 %H
2025-02-27 00:00:00,15.3 %H
2025-02-27 00:30:00,15.2 %H
2025-02-27 01:00:00,15.2 %H
2025-02-27 01:30:00,15.1 %H
2025-02-27 02:00:00,15.1 %H
2025-02-27 02:30:00,15.2 %H
2025-02-27 03:00:00,15.2 %H
2025-02-27 03:30:00,15.2 %H
2025-02-27 04:00:00,15.1 %H
2025-02-27 04:30:00,15.1 %H
2025-02-27 05:00:00,15.0 %H
2025-02-27 05:30:00,16.3 %H
2025-02-27 06:00:00,18.0 %H
2025-02-27 06:30:00,18.7 %H
2025-02-27 07:00:00,19.3 %H
2025-02-27 07:30:00,19.2 %H
2025-02-27 08:00:00,19.2 %H
2025-02-27 08:30:00,19.4 %H
2025-02-27 09:00:00,19.9 %H
2025-02-27 09:30:00,20.6 %H
2025-02-27 10:00:00,21.7 %H
2025-02-27 10:30:00,22.5 %H
2025-02-27 11:00:00,23.2 %H
2025-02-27 11:30:00,24.6 %H
2025-02-27 12:00:00,25.9 %H
2025-02-27 12:30:00,26.7 %H
2025-02-27 13:00:00,27.8 %H
2025-02-27 13:30:00,30.2 %H
2025-02-27 14:00:00,31.4 %H
2025-02-27 14:30:00,32.5 %H
2025-02-27 15:00:00,32.5 %H
2025-02-27 15:30:00,32.5 %H
2025-02-27 16:00:00,32.6 %H
2025-02-27 16:30:00,32.0 %H
2025-02-27 17:00:00,31.5 %H
2025-02-27 17:30:00,31.2 %H
2025-02-27 18:00:00,31.1 %H
2025-02-27 18:30:00,30.6 %H
2025-02-27 19:00:00,30.2 %H
2025-02-27 19:30:00,29.9 %H
2025-02-27 20:00:00,29.7 %H
2025-02-27 20:30:00,29.6 %H
2025-02-27 21:00:00,29.3 %H
2025-02-27 21:30:00,29.1 %H
2025-02-27 22:00:00,29.0 %H
2025-02-27 22:30:00,28.8 %H
2025-02-27 23:00:00,27.5 %H
2025-02-27 23:30:00,25.6 %H
2025-02-28 00:00:00,24.3 %H
2025-02-28 00:30:00,23.2 %H
2025-02-28 01:00:00,22.2 %H
2025-02-28 01:30:00,21.6 %H
2025-02-28 02:00:00,21.5 %H
2025-02-28 02:30:00,20.9 %H
2025-02-28 03:00:00,20.4 %H
2025-02-28 03:30:00,20.1 %H
2025-02-28 04:00:00,19.9 %H
2025-02-28 04:30:00,19.7 %H
2025-02-28 05:00:00,19.4 %H
2025-02-28 05:30:00,19.4 %H
2025-02-28 06:00:00,19.3 %H
2025-02-28 06:30:00,19.4 %H
2025-02-28 07:00:00,19.0 %H
2025-02-28 07:30:00,18.8 %H
2025-02-28 08:00:00,18.6 %H
2025-02-28 08:30:00,18.3 %H
2025-02-28 09:00:00,17.8 %H
2025-02-28 09:30:00,17.0 %H
2025-02-28 10:00:00,16.2 %H
2025-02-28 10:30:00,13.7 %H
2025-02-28 11:00:00,12.8 %H
2025-02-28 11:30:00,12.7 %H
2025-02-28 12:00:00,12.5 %H
2025-02-28 12:30:00,11.7 %H
2025-02-28 13:00:00,10.9 %H
2025-02-28 13:30:00,10.5 %H
2025-02-28 14:00:00,10.1 %H
2025-02-28 14:30:00,9.90 %H
2025-02-28 15:00:00,9.88 %H
2025-02-28 15:30:00,9.47 %H
2025-02-28 16:00:00,9.37 %H
2025-02-28 16:30:00,9.06 %H
2025-02-28 17:00:00,8.87 %H
2025-02-28 17:30:00,8.89 %H
2025-02-28 18:00:00,8.89 %H
2025-02-28 18:30:00,8.84 %H
2025-02-28 19:00:00,8.78 %H
2025-02-28 19:30:00,8.52 %H
2025-02-28 20:00:00,8.47 %H
2025-02-28 20:30:00,8.45 %H
2025-02-28 21:00:00,8.30 %H
