# Retrieved Pulse - Time Domain (Full Field)
# Time (fs)	Real(E)	Imag(E)	Normalized Intensity
# # Note: This is the time-domain electric field E(t).
# # To compare the spectrum with the GUI (I(lambda)), calculate |FFT(E)|^2 / lambda^2.
-6.661507e+02	2.610104e-04	-7.536840e-04	6.361660e-07
-6.652442e+02	5.183822e-04	-4.762440e-04	4.955285e-07
-6.643377e+02	6.295777e-04	-1.561990e-04	4.207662e-07
-6.634312e+02	5.948352e-04	1.687678e-04	3.823115e-07
-6.625247e+02	4.097297e-04	4.418746e-04	3.631316e-07
-6.616183e+02	1.011494e-04	5.859566e-04	3.535764e-07
-6.607118e+02	-2.502137e-04	5.339501e-04	3.477096e-07
-6.598053e+02	-5.160752e-04	2.734769e-04	3.411232e-07
-6.588988e+02	-5.631865e-04	-1.142583e-04	3.302340e-07
-6.579923e+02	-3.302753e-04	-4.516451e-04	3.130651e-07
-6.570858e+02	9.369561e-05	-5.317232e-04	2.915084e-07
-6.561793e+02	4.591081e-04	-2.535585e-04	2.750722e-07
-6.552728e+02	4.737856e-04	2.476485e-04	2.858026e-07
-6.543664e+02	3.548994e-05	5.941050e-04	3.542203e-07
-6.534599e+02	-5.698773e-04	4.217194e-04	5.026074e-07
-6.525534e+02	-8.211035e-04	-2.456089e-04	7.345347e-07
-6.516469e+02	-4.044122e-04	-9.302094e-04	1.028839e-06
-6.507404e+02	4.680655e-04	-1.058818e-03	1.340181e-06
-6.498339e+02	1.186249e-03	-4.495038e-04	1.609240e-06
-6.489274e+02	1.231020e-03	5.313221e-04	1.797712e-06
-6.480210e+02	5.448627e-04	1.261674e-03	1.888696e-06
-6.471145e+02	-4.553205e-04	1.291336e-03	1.874865e-06
-6.462080e+02	-1.168651e-03	6.249709e-04	1.756334e-06
-6.453015e+02	-1.203749e-03	-3.019608e-04	1.540191e-06
-6.443950e+02	-6.226377e-04	-9.277719e-04	1.248438e-06
-6.434885e+02	1.342298e-04	-9.555958e-04	9.311810e-07
-6.425820e+02	6.078416e-04	-5.146937e-04	6.343811e-07
-6.416755e+02	6.229036e-04	1.917626e-05	3.883767e-07
-6.407691e+02	3.199674e-04	3.237478e-04	2.071918e-07
-6.398626e+02	-2.476931e-05	3.026456e-04	9.220787e-08
-6.389561e+02	-1.833841e-04	6.233514e-05	3.751541e-08
-6.380496e+02	-7.065689e-05	-1.710076e-04	3.423601e-08
-6.371431e+02	1.912973e-04	-1.841151e-04	7.049304e-08
-6.362366e+02	3.533904e-04	5.189670e-05	1.275781e-07
-6.353301e+02	2.482129e-04	3.447076e-04	1.804330e-07
-6.344236e+02	-5.289584e-05	4.480233e-04	2.035228e-07
-6.335172e+02	-3.150901e-04	2.986407e-04	1.884680e-07
-6.326107e+02	-3.795125e-04	4.377725e-05	1.459462e-07
-6.317042e+02	-2.748217e-04	-1.315004e-04	9.281932e-08
-6.307977e+02	-1.490794e-04	-1.600427e-04	4.783831e-08
-6.298912e+02	-1.234833e-04	-1.239989e-04	3.062387e-08
-6.289847e+02	-1.876629e-04	-1.689185e-04	6.375083e-08
-6.280782e+02	-1.813370e-04	-3.702428e-04	1.699628e-07
-6.271717e+02	7.729304e-05	-5.883904e-04	3.521774e-07
-6.262653e+02	5.464586e-04	-5.345694e-04	5.843814e-07
-6.253588e+02	8.997042e-04	-6.474937e-05	8.136601e-07
-6.244523e+02	7.847389e-04	5.954461e-04	9.703712e-07
-6.235458e+02	1.910661e-04	9.816985e-04	1.000238e-06
-6.226393e+02	-4.935290e-04	8.190209e-04	9.143661e-07
-6.217328e+02	-8.308629e-04	2.452010e-04	7.504567e-07
-6.208263e+02	-6.617780e-04	-3.361306e-04	5.509339e-07
-6.199199e+02	-1.794226e-04	-5.680853e-04	3.549133e-07
-6.190134e+02	2.453600e-04	-3.682084e-04	1.957789e-07
-6.181069e+02	3.153629e-04	4.451684e-05	1.014355e-07
-6.172004e+02	1.538193e-05	2.957398e-04	8.769863e-08
-6.162939e+02	-3.566408e-04	1.547237e-04	1.511321e-07
-6.153874e+02	-4.444581e-04	-2.655368e-04	2.680528e-07
