# Retrieved Pulse - Time Domain (Full Field)
# Time (fs)	Real(E)	Imag(E)	Normalized Intensity
# # Note: This is the time-domain electric field E(t).
# # To compare the spectrum with the GUI (I(lambda)), calculate |FFT(E)|^2 / lambda^2.
-5.219651e+02	-1.769114e-02	-1.696996e-03	3.158561e-04
-5.211177e+02	-1.375854e-02	6.990301e-03	2.381617e-04
-5.202702e+02	-2.226468e-02	4.466391e-03	5.156648e-04
-5.194227e+02	-2.357401e-02	-8.770632e-03	6.326578e-04
-5.185752e+02	-1.361955e-02	-1.827993e-02	5.196481e-04
-5.177278e+02	-2.859558e-03	-1.739789e-02	3.108637e-04
-5.168803e+02	6.607993e-04	-1.298324e-02	1.690012e-04
-5.160328e+02	8.551607e-04	-1.328482e-02	1.772178e-04
-5.151853e+02	5.771577e-03	-1.628049e-02	2.983654e-04
-5.143379e+02	1.465727e-02	-1.366140e-02	4.014694e-04
-5.134904e+02	1.827152e-02	-4.796033e-03	3.568503e-04
-5.126429e+02	1.493153e-02	7.203406e-04	2.234696e-04
-5.117954e+02	1.399713e-02	9.382745e-04	1.968001e-04
-5.109480e+02	1.765290e-02	4.346874e-03	3.305200e-04
-5.101005e+02	1.726612e-02	1.364117e-02	4.842005e-04
-5.092530e+02	9.032825e-03	1.933620e-02	4.554806e-04
-5.084055e+02	2.432000e-03	1.752461e-02	3.130264e-04
-5.075580e+02	9.631321e-04	1.700570e-02	2.901216e-04
-5.067106e+02	-3.262338e-03	2.067609e-02	4.381437e-04
-5.058631e+02	-1.308677e-02	2.012263e-02	5.761839e-04
-5.050156e+02	-1.872745e-02	1.171313e-02	4.879149e-04
-5.041681e+02	-1.701398e-02	5.706291e-03	3.220374e-04
-5.033207e+02	-1.753942e-02	5.093114e-03	3.335712e-04
-5.024732e+02	-2.301465e-02	8.903871e-04	5.304668e-04
-5.016257e+02	-2.379944e-02	-9.889724e-03	6.642200e-04
-5.007782e+02	-1.610035e-02	-1.646865e-02	5.304376e-04
-4.999308e+02	-1.099233e-02	-1.606404e-02	3.788848e-04
-4.990833e+02	-1.082680e-02	-1.878889e-02	4.702422e-04
-4.982358e+02	-5.544318e-03	-2.665967e-02	7.414776e-04
-4.973883e+02	7.417474e-03	-2.825215e-02	8.532029e-04
-4.965409e+02	1.543184e-02	-1.993324e-02	6.354756e-04
-4.956934e+02	1.550648e-02	-1.437042e-02	4.469600e-04
-4.948459e+02	1.862462e-02	-1.435248e-02	5.528704e-04
-4.939984e+02	2.720008e-02	-9.180137e-03	8.241195e-04
-4.931510e+02	2.904594e-02	3.803680e-03	8.581344e-04
-4.923035e+02	2.123566e-02	1.125923e-02	5.777233e-04
-4.914560e+02	1.738554e-02	1.091402e-02	4.213728e-04
-4.906085e+02	1.975788e-02	1.506525e-02	6.173354e-04
-4.897611e+02	1.589348e-02	2.620262e-02	9.391799e-04
-4.889136e+02	2.399158e-03	3.027226e-02	9.221656e-04
-4.880661e+02	-6.157244e-03	2.383139e-02	6.058466e-04
-4.872186e+02	-6.689400e-03	2.092357e-02	4.825439e-04
-4.863712e+02	-1.173622e-02	2.442662e-02	7.343987e-04
-4.855237e+02	-2.433327e-02	2.148193e-02	1.053582e-03
-4.846762e+02	-2.995202e-02	8.082994e-03	9.624584e-04
-4.838287e+02	-2.506773e-02	-1.008749e-03	6.294085e-04
-4.829813e+02	-2.322398e-02	-2.418373e-03	5.452018e-04
-4.821338e+02	-2.734710e-02	-8.249209e-03	8.159135e-04
-4.812863e+02	-2.472389e-02	-2.130364e-02	1.065116e-03
-4.804388e+02	-1.184734e-02	-2.700682e-02	8.697277e-04
-4.795914e+02	-3.812309e-03	-2.277570e-02	5.332663e-04
-4.787439e+02	-3.445861e-03	-2.232006e-02	5.100591e-04
-4.778964e+02	1.904241e-03	-2.842776e-02	8.117634e-04
-4.770489e+02	1.522652e-02	-2.771541e-02	9.999906e-04
-4.762015e+02	2.180202e-02	-1.664033e-02	7.522287e-04
-4.753540e+02	1.938597e-02	-1.020334e-02	4.799241e-04
-4.745065e+02	2.140446e-02	-1.060039e-02	5.705191e-04
-4.736590e+02	2.993024e-02	-4.741407e-03	9.183003e-04
-4.728116e+02	3.031940e-02	9.878490e-03	1.016850e-03
-4.719641e+02	1.946102e-02	1.722603e-02	6.754674e-04
-4.711166e+02	1.370865e-02	1.475450e-02	4.056222e-04
-4.702691e+02	1.604138e-02	1.708168e-02	5.491097e-04
-4.694217e+02	1.213738e-02	2.763415e-02	9.109625e-04
-4.685742e+02	-2.407558e-03	3.065183e-02	9.453309e-04
-4.677267e+02	-1.111994e-02	2.141059e-02	5.820666e-04
-4.668792e+02	-9.401799e-03	1.606672e-02	3.465335e-04
-4.660318e+02	-1.148206e-02	1.948125e-02	5.113567e-04
-4.651843e+02	-2.269091e-02	1.767758e-02	8.273741e-04
-4.643368e+02	-2.765543e-02	4.129088e-03	7.818721e-04
-4.634893e+02	-1.987008e-02	-5.145353e-03	4.212948e-04
-4.626418e+02	-1.455764e-02	-3.113127e-03	2.216165e-04
-4.617944e+02	-1.934347e-02	-3.040594e-03	3.834152e-04
-4.609469e+02	-2.169139e-02	-1.348447e-02	6.523471e-04
-4.600994e+02	-1.164744e-02	-2.165857e-02	6.047564e-04
-4.592519e+02	-1.847604e-03	-1.819298e-02	3.343983e-04
-4.584045e+02	-1.523552e-03	-1.391902e-02	1.960603e-04
-4.575570e+02	-1.579007e-03	-1.775835e-02	3.178524e-04
-4.567095e+02	7.283773e-03	-2.097984e-02	4.932070e-04
-4.558620e+02	1.609723e-02	-1.317434e-02	4.326840e-04
-4.550146e+02	1.459464e-02	-3.323178e-03	2.240471e-04
-4.541671e+02	9.516239e-03	-1.704002e-03	9.346242e-05
-4.533196e+02	1.081306e-02	-3.658881e-03	1.303097e-04
-4.524721e+02	1.493154e-02	6.406561e-04	2.233614e-04
-4.516247e+02	1.214532e-02	8.208547e-03	2.148890e-04
-4.507772e+02	5.127405e-03	1.006337e-02	1.275617e-04
-4.499297e+02	1.868361e-03	7.212012e-03	5.550389e-05
-4.490822e+02	2.628223e-03	6.694216e-03	5.172008e-05
-4.482348e+02	9.649453e-04	9.423113e-03	8.972618e-05
-4.473873e+02	-4.433610e-03	9.501099e-03	1.099278e-04
-4.465398e+02	-8.377650e-03	5.031417e-03	9.550018e-05
-4.456923e+02	-7.761701e-03	-1.032679e-04	6.025467e-05
-4.448449e+02	-4.840882e-03	-1.969789e-03	2.731421e-05
-4.439974e+02	-3.716151e-03	-1.124573e-03	1.507444e-05
-4.431499e+02	-5.292795e-03	-1.423701e-03	3.004060e-05
-4.423024e+02	-6.110561e-03	-5.016376e-03	6.250299e-05
-4.414550e+02	-2.782736e-03	-9.015111e-03	8.901585e-05
-4.406075e+02	2.810515e-03	-8.774012e-03	8.488228e-05
-4.397600e+02	4.997351e-03	-4.737422e-03	4.741669e-05
-4.389125e+02	3.268888e-03	-2.958906e-03	1.944076e-05
-4.380651e+02	3.471554e-03	-4.769909e-03	3.480373e-05
-4.372176e+02	7.630275e-03	-4.521633e-03	7.866627e-05
-4.363701e+02	9.871914e-03	8.406456e-04	9.816138e-05
-4.355226e+02	5.680429e-03	5.163601e-03	5.893005e-05
-4.346752e+02	1.284424e-03	3.057070e-03	1.099542e-05
-4.338277e+02	2.908351e-03	-3.497451e-04	8.580825e-06
-4.329802e+02	6.758023e-03	1.832699e-03	4.902966e-05
-4.321327e+02	5.234215e-03	6.999138e-03	7.638494e-05
-4.312853e+02	-7.311332e-05	7.119150e-03	5.068765e-05
-4.304378e+02	-1.450843e-03	3.352022e-03	1.334100e-05
-4.295903e+02	9.463104e-04	2.603047e-03	7.671356e-06
-4.287428e+02	7.312252e-04	5.400480e-03	2.969987e-05
-4.278954e+02	-3.044860e-03	5.218055e-03	3.649927e-05
-4.270479e+02	-3.519108e-03	9.559612e-04	1.329798e-05
-4.262004e+02	4.914737e-04	-1.717121e-04	2.710314e-07
-4.253529e+02	2.123579e-03	3.903476e-03	1.974671e-05
-4.245055e+02	-1.859727e-03	6.658911e-03	4.779968e-05
-4.236580e+02	-5.172082e-03	3.687984e-03	4.035166e-05
-4.228105e+02	-3.140675e-03	9.821735e-04	1.082851e-05
-4.219630e+02	-1.460512e-03	3.216371e-03	1.247813e-05
-4.211156e+02	-4.967723e-03	5.352834e-03	5.333110e-05
-4.202681e+02	-8.959624e-03	1.879184e-03	8.380618e-05
-4.194206e+02	-6.821315e-03	-2.612766e-03	5.335689e-05
-4.185731e+02	-3.378034e-03	-1.196903e-03	1.284369e-05
-4.177256e+02	-5.926085e-03	1.659196e-03	3.787142e-05
-4.168782e+02	-1.089542e-02	-1.826144e-03	1.220451e-04
-4.160307e+02	-9.578103e-03	-9.207415e-03	1.765165e-04
-4.151832e+02	-3.188976e-03	-1.091935e-02	1.294017e-04
-4.143357e+02	-8.590292e-04	-7.912917e-03	6.335219e-05
-4.134883e+02	-2.370535e-03	-8.314215e-03	7.474560e-05
-4.126408e+02	-3.395882e-04	-1.240872e-02	1.540915e-04
-4.117933e+02	5.873439e-03	-1.280273e-02	1.984072e-04
-4.109458e+02	8.747011e-03	-8.707739e-03	1.523349e-04
-4.100984e+02	8.580662e-03	-7.163848e-03	1.249485e-04
-4.092509e+02	1.157231e-02	-7.440737e-03	1.892830e-04
-4.084034e+02	1.655627e-02	-3.231411e-03	2.845520e-04
-4.075559e+02	1.607933e-02	4.089184e-03	2.752663e-04
-4.067085e+02	1.182600e-02	6.176925e-03	1.780087e-04
-4.058610e+02	1.251499e-02	5.908259e-03	1.915326e-04
-4.050135e+02	1.489403e-02	1.191455e-02	3.637886e-04
-4.041660e+02	9.036231e-03	2.080327e-02	5.144293e-04
-4.033186e+02	-2.115571e-03	2.001242e-02	4.049728e-04
-4.024711e+02	-4.105457e-03	1.225506e-02	1.670412e-04
-4.016236e+02	7.179967e-04	1.318772e-02	1.744316e-04
-4.007761e+02	-3.411414e-03	2.200340e-02	4.957873e-04
-3.999287e+02	-1.792363e-02	2.201605e-02	8.059630e-04
-3.990812e+02	-2.478167e-02	9.035139e-03	6.957648e-04
-3.982337e+02	-1.899711e-02	8.381115e-04	3.615925e-04
-3.973862e+02	-1.692968e-02	2.978565e-03	2.954860e-04
-3.965388e+02	-2.462094e-02	8.442403e-04	6.069034e-04
-3.956913e+02	-2.757532e-02	-1.273977e-02	9.226996e-04
-3.948438e+02	-1.671859e-02	-2.261345e-02	7.908794e-04
-3.939963e+02	-6.852865e-03	-2.010085e-02	4.510060e-04
-3.931489e+02	-6.550997e-03	-1.780663e-02	3.599918e-04
-3.923014e+02	-5.090844e-03	-2.384006e-02	5.942652e-04
-3.914539e+02	5.708896e-03	-2.766548e-02	7.979701e-04
-3.906064e+02	1.474379e-02	-2.063321e-02	6.431085e-04
-3.897590e+02	1.503130e-02	-1.427466e-02	4.297059e-04
-3.889115e+02	1.680598e-02	-1.459660e-02	4.955018e-04
-3.880640e+02	2.553851e-02	-1.154301e-02	7.854563e-04
-3.872165e+02	2.991992e-02	1.007158e-03	8.962158e-04
-3.863691e+02	2.287750e-02	1.071163e-02	6.381187e-04
-3.855216e+02	1.714432e-02	1.111084e-02	4.173785e-04
-3.846741e+02	1.885782e-02	1.333034e-02	5.333151e-04
-3.838266e+02	1.721468e-02	2.359324e-02	8.529861e-04
-3.829792e+02	4.903652e-03	3.014114e-02	9.325344e-04
-3.821317e+02	-6.084424e-03	2.510539e-02	6.673008e-04
-3.812842e+02	-8.428193e-03	1.981610e-02	4.637121e-04
-3.804367e+02	-1.138082e-02	2.072195e-02	5.589222e-04
